scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_household_care_relatedness,latest_mean_outside_household_care_relatedness,latest_household_care_fraction,latest_grandmother_care_fraction,latest_grandmother_household_care_fraction,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
shuffled_relatedness,0,1,0.04789433937321305,0.12445355015961973,0.07655921078640668,0.0703125,0.91015625,0.83984375,256,31,127,1.0,77.50093141388605,0.1823397277224912,0.1823397277224912,0.11598710401490767,1.0,0.2784100976741332,1.0,0.18254463143901475,-0.00020490371652354122,0.7886494217166985,17.55,0.22644889138526536,3.193883223555969,2.325027942416582,0.0,3.193883223555969,0.0,2.1076923076923078,4.161290322580645,-2.0535980148883373,0.5064997018485391,390,186,0.08984375,0.75,227
shuffled_relatedness,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,1.0,0.0,0.24183204166424124,0.23513310699429346,0.2510719187652076,0.5797092803258841,0.3045963277372593,0.6986406717681163,0.2418320416642413,-5.551115123125783e-17,0.8875041426698287,0.0,0.21640024953621942,0.0,0.0,0.0,0.0,0.0,2.6363636363636362,4.897810218978102,-2.261446582614466,0.5382739466196992,11,137,0.0703125,0.0,0
shuffled_relatedness,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,1.0,0.0,0.2303322848100659,0.2412717481198511,0.2178055300300459,0.5338207772586143,0.40376114775360966,0.87881353216006,0.2303322848100659,0.0,0.5792575024955537,0.0,0.7332538277969861,0.0,0.0,0.0,0.0,0.0,nan,6.126315789473685,nan,nan,0,95,0.09375,1.0,0
shuffled_relatedness,3,1,0.060736775988528904,0.12987185591386768,0.06913507992533878,0.09375,0.9375,0.84375,320,18,162,1.0,103.61559466943383,0.16003058331605527,0.16003058331605527,0.11759314340164931,1.0,0.29259063975682026,1.0,0.15724685442677855,0.002783728889276721,0.6636132117616044,10.400000000000002,0.10037099177183945,1.7127058625463527,3.1084678400830157,0.0,1.7127058625463527,0.0,1.9461538461538461,4.267326732673268,-2.321172886519421,0.4560592539710869,520,202,0.08984375,0.5,119
shuffled_relatedness,4,0,0.02839130830642853,0.06911698477821912,0.040725676471790595,0.0234375,0.0,-0.0234375,3,0,0,1.0,0.0,0.19861520456874937,0.19861520456874937,0.0,1.0,0.4897794077033315,1.0,0.19861520456874937,0.0,0.9053596644260395,0.0,0.10324947593918157,0.0,0.0,0.0,0.0,0.0,3.037037037037037,4.484472049689441,-1.447435012652404,0.6772340207243255,27,161,0.0703125,1.0,0
no_rearing_dependency,0,0,0.04789433937321305,0.03305456477060024,-0.014839774602612814,0.0703125,0.00510204081632653,-0.06521045918367346,196,25,97,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.1481481481481481,1.8828125,-0.7346643518518519,0.6098048255724604,27,640,0.078125,0.8333333333333334,207
no_rearing_dependency,1,0,0.028615349416912364,0.02812255299869198,-0.0004927964182203856,0.03125,0.010526315789473684,-0.020723684210526318,285,31,140,0.9545454545454546,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,1.9397435897435897,-0.8683150183150183,0.5523557737701822,14,780,0.0796875,0.6,417
no_rearing_dependency,2,0,0.019112973733329215,0.025632626061314563,0.006519652327985348,0.0,0.00625,0.00625,320,15,160,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,1.8726190476190476,-0.30119047619047623,0.8391608391608392,7,840,0.083984375,0.25,195
no_rearing_dependency,3,0,0.060736775988528904,0.1063282439687339,0.045591467980205,0.09375,0.6531365313653137,0.5593865313653137,271,32,149,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,2.0535117056856187,1.856832971800434,0.19667873388518475,1.1059216078517176,299,461,0.0849609375,0.375,363
no_rearing_dependency,4,0,0.02839130830642853,0.02683271372603681,-0.0015585945803917173,0.0234375,0.007142857142857143,-0.016294642857142858,140,7,65,0.8333333333333334,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.0,1.778688524590164,-0.778688524590164,0.5622119815668203,9,610,0.0859375,1.0,84
unrelated_rearing_groups,0,0,0.038545295718516004,nan,nan,0.046875,nan,nan,0,0,0,0.0,0.0,0.1703514139497893,0.23437500000000003,0.13244555072528255,0.37188333199313134,0.0,0.0,0.1703514139497893,0.0,0.871426433364859,0.0,0.7500000000000002,0.0,0.0,0.0,0.0,1.0,4.714285714285714,4.7251908396946565,-0.010905125408942062,0.9976921301638588,7,131,0.0703125,1.0,0
unrelated_rearing_groups,1,0,0.04024672473326536,nan,nan,0.046875,nan,nan,0,0,0,0.0,0.0,0.022593442010159132,0.21093750000000003,0.022593442010159132,0.0,0.4840319066803412,0.0,0.022593442010159132,0.0,0.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,1.0,8.5,5.053846153846154,3.4461538461538463,1.6818873668188736,2,130,0.0546875,1.0,0
unrelated_rearing_groups,2,0,0.018718883457497386,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.023425855270276935,0.25,0.0,0.09370342108110774,0.640865366764431,0.14621389443182564,0.02342585527027693,3.469446951953614e-18,0.09370342108110774,0.0,0.75,0.0,0.0,0.0,0.0,1.0,nan,6.081632653061225,nan,nan,0,98,0.0,1.0,0
unrelated_rearing_groups,3,0,0.02067122450589681,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.010923856028616431,0.2579953264899162,0.010923856028616431,0.0,0.44044016373482814,0.0,0.010923856028616431,0.0,0.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,1.0,nan,6.122448979591836,nan,nan,0,98,0.0,1.0,0
unrelated_rearing_groups,4,0,0.02096855279247783,nan,nan,0.0078125,nan,nan,0,0,0,0.0,0.0,0.0,0.1171875,0.0,0.0,0.7603276984935915,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,nan,6.179775280898877,nan,nan,0,89,0.0,1.0,0
cost_too_high,0,0,0.04789433937321305,nan,nan,0.0703125,nan,nan,0,0,0,1.0,0.0,0.22949300202544184,0.22949300202544184,0.19808445032665015,1.0,0.3237124121152703,1.0,0.22949300202544184,0.0,0.5398980253644339,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.9393939393939394,5.008849557522124,-3.0694556181281847,0.3871934896669879,33,113,0.0859375,1.0,0
cost_too_high,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,0.0,0.0,0.231741585472972,0.3119661947307555,0.0390625,0.7060332607921178,0.4357189601588344,1.0,0.23174158547297197,2.7755575615628914e-17,0.7060332607921178,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,3.0,5.518867924528302,-2.518867924528302,0.5435897435897435,3,106,0.0,1.0,0
cost_too_high,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.3442267561433994,0.3442267561433994,0.0,1.0,0.707708877859512,1.0,0.3442267561433994,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,nan,5.688888888888889,nan,nan,0,90,0.0546875,1.0,0
cost_too_high,3,0,0.060736775988528904,nan,nan,0.09375,nan,nan,0,0,0,1.0,0.0,0.32009893205964945,0.32009893205964945,0.078125,1.0,0.2676875031734689,1.0,0.32009893205964945,0.0,1.0,0.0,0.48391668193570986,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,4.580645161290323,-2.8028673835125453,0.3881064162754303,45,124,0.078125,1.0,0
cost_too_high,4,0,0.02839130830642853,nan,nan,0.0234375,nan,nan,0,0,0,1.0,0.0,0.31397151308352,0.31397151308352,0.28125000000000006,1.0,0.5996310191472062,1.0,0.31397151308352,0.0,0.8149869276180755,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,1.3636363636363635,5.330357142857143,-3.96672077922078,0.2558245774326176,11,112,0.078125,0.0,0
high_juvenile_dispersal,0,1,0.07018771189511439,0.09957754927682384,0.029389837381709458,0.125,0.5329153605015674,0.4079153605015674,319,24,144,1.0,55.93051277855981,0.09667923946081057,0.11692304631310321,0.08625230227797012,0.3399636204096129,0.3655485622926351,0.30837492029568464,0.08618418923725302,0.010495050223557553,0.16452676441422667,11.615489832235442,0.20767715608514978,1.1448908757836485,1.6779153833567961,0.35,0.7948908757836485,0.0,1.944206008583691,2.6704119850187267,-0.7262059764350357,0.7280547044766417,466,534,0.036458333333333336,0.3333333333333333,45
high_juvenile_dispersal,1,1,0.07148462724745769,0.10238382868422868,0.030899201436770996,0.1328125,0.540625,0.4078125,320,14,138,1.0,39.81580937041221,0.08946269732206671,0.185749193901299,0.07362688223469192,0.14123696570279612,0.4415444249969991,0.15992401775047763,0.09006909743030876,-0.0006064001082420473,0.12446105536187893,5.2,0.130601388800706,0.45341986217666347,1.1944742811123683,0.0,0.45341986217666347,0.0,2.0043196544276456,2.63003663003663,-0.6257169756089844,0.7620881137308457,463,546,0.07161458333333333,0.0,63
high_juvenile_dispersal,2,0,0.018468372535806882,nan,nan,0.0,nan,nan,0,0,0,0.5,0.0,0.0,0.1328125,0.0,0.0,0.360310426923211,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,nan,6.4,nan,nan,0,100,0.0,1.0,0
high_juvenile_dispersal,3,0,0.02903404941069932,nan,nan,0.0234375,nan,nan,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000000000004,0.0,0.0,0.0,0.0,0.0,3.7777777777777777,5.466666666666667,-1.688888888888889,0.6910569105691057,9,105,0.0,0.0,0
high_juvenile_dispersal,4,0,0.020678774469230617,nan,nan,0.0078125,nan,nan,0,0,0,0.0,0.0,0.18139868079142568,0.5,0.18139868079142568,0.0,0.3660175114714891,0.0,0.18139868079142568,0.0,0.47094182253429895,0.0,0.75,0.0,0.0,0.0,0.0,0.0,nan,7.057471264367816,nan,nan,0,87,0.0,1.0,0
