scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
cost_too_high,0,0,0.04789433937321305,nan,nan,0.0703125,nan,nan,0,0,0,0.0,0.0,0.323034526709368,0.323034526709368,0.0,1.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,2.4,4.990825688073395,-2.590825688073395,0.4808823529411764,20,109,0.03125,1.0,0
cost_too_high,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,1.0,0.0,0.2920773589469703,0.2920773589469703,0.0,0.7508267202579815,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,3.0,5.528846153846154,-2.528846153846154,0.5426086956521738,3,104,0.0,1.0,0
cost_too_high,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.2815385202255608,0.2815385202255608,0.0,0.713828971214276,0.0,0.75,0.0,0.0,0.0,0.0,0.0,nan,5.954022988505747,nan,nan,0,87,0.0,1.0,0
cost_too_high,3,0,0.060736775988528904,nan,nan,0.09375,nan,nan,0,0,0,1.0,0.0,0.1411129770821842,0.14111297708218423,-2.7755575615628914e-17,0.3600466713005467,0.0,0.31404585471666885,0.0,0.0,0.0,0.0,0.0,1.4791666666666667,5.77906976744186,-4.299903100775193,0.255952380952381,48,86,0.0703125,1.0,0
cost_too_high,4,0,0.02839130830642853,nan,nan,0.0234375,nan,nan,0,0,0,1.0,0.0,0.2428566303819557,0.22942275320764655,0.013433877174309161,0.8280255899461396,0.0,0.474984396098592,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,6.125,-4.458333333333333,0.272108843537415,9,88,0.0,1.0,0
high_juvenile_dispersal,0,1,0.07018771189511439,0.09703326823291383,0.026845556337799448,0.125,0.46875,0.34375,320,26,150,1.0,58.10146956739906,0.0934426575893727,0.0898150884231965,0.003627569166176195,0.14055868959052661,10.400000000000002,0.17899719365851427,0.9212965077895146,1.7430440870219703,0.0,0.9212965077895146,0.0,2.1458333333333335,2.604852686308492,-0.4590193529751585,0.8237829895764028,336,577,0.06484375,0.6,201
high_juvenile_dispersal,1,1,0.07148462724745769,0.09597132354905029,0.0244866963015926,0.1328125,0.40625,0.2734375,320,14,148,1.0,34.515969089017275,0.09501526569018158,0.08839249824478805,0.006622767445393529,0.11054781614155508,7.150000000000001,0.20715049261864937,0.6782446235443765,1.035479072670518,0.35,0.32824462354437656,0.0,1.9784688995215312,2.4829268292682927,-0.5044579297467615,0.7968293210253711,418,615,0.03125,0.0,35
high_juvenile_dispersal,2,0,0.018468372535806882,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.2578125,0.2578125,0.0,1.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,nan,6.450980392156863,nan,nan,0,102,0.0703125,1.0,0
high_juvenile_dispersal,3,0,0.02903404941069932,nan,nan,0.0234375,nan,nan,0,0,0,0.0,0.0,0.1328125,0.1328125,0.0,1.0,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,3.4545454545454546,5.302752293577981,-1.8482068390325268,0.6514627241270841,11,109,0.0859375,0.0,0
high_juvenile_dispersal,4,0,0.020678774469230617,nan,nan,0.0078125,nan,nan,0,0,0,0.0,0.0,0.07632866352567863,0.07632866352567863,0.0,0.27139080364685736,0.0,0.75,0.0,0.0,0.0,0.0,0.0,nan,6.919540229885057,nan,nan,0,87,0.0,0.0,0
