mechanism,benefit_scale,cost_scale,seed,initial_mean_trait,final_mean_trait,trait_gain,final_std_trait,final_identity_count,emergence_success
indirect_reciprocity,1.0,0.1,2,0.11797424272741182,0.9976331487134765,0.8796589059860647,0.008529677739804408,1,1
indirect_reciprocity,1.0,0.1,3,0.12236215370906406,0.998264298490864,0.8759021447817998,0.0071708469189550005,1,1
indirect_reciprocity,1.0,0.1,4,0.12040570537335116,0.9973988467008302,0.8769931413274791,0.009203841137978216,1,1
indirect_reciprocity,1.0,0.1,5,0.11899369572264468,0.9977518013645965,0.8787581056419518,0.009212782720583249,1,1
indirect_reciprocity,1.0,0.1,6,0.11990100497716376,0.9989425988852132,0.8790415939080495,0.004757950220332979,1,1
indirect_reciprocity,1.0,0.1,7,0.1142221685091476,0.9971876115859302,0.8829654430767826,0.007985324421588285,1,1
indirect_reciprocity,1.0,0.2,0,0.11982660185613107,0.9395474539750032,0.8197208521188721,0.04728564778553843,1,1
indirect_reciprocity,1.0,0.2,1,0.11914007165541113,0.9965681136985237,0.8774280420431126,0.008798251022394961,1,1
indirect_reciprocity,1.0,0.2,2,0.11797424272741182,0.9954381348389428,0.877463892111531,0.012210013174904074,1,1
indirect_reciprocity,1.0,0.2,3,0.12236215370906406,0.99714909392819,0.874786940219126,0.008790205392921272,1,1
indirect_reciprocity,1.0,0.2,4,0.12040570537335116,0.9966642163551174,0.8762585109817662,0.010797094767158061,1,1
indirect_reciprocity,1.0,0.2,5,0.11899369572264468,0.9962561025805677,0.8772624068579231,0.009849956396838257,1,1
indirect_reciprocity,1.0,0.2,6,0.11990100497716376,0.9925072147776481,0.8726062098004844,0.013253735294754617,1,1
indirect_reciprocity,1.0,0.2,7,0.1142221685091476,0.9954916595951266,0.8812694910859791,0.009967596657169066,1,1
indirect_reciprocity,1.0,0.3,0,0.11982660185613107,0.8195800039319716,0.6997534020758406,0.042930596710321414,1,1
indirect_reciprocity,1.0,0.3,1,0.11914007165541113,0.9966276298096497,0.8774875581542385,0.009958003289876886,1,1
indirect_reciprocity,1.0,0.3,2,0.11797424272741182,0.9903941079013124,0.8724198651739006,0.01620941689942569,1,1
indirect_reciprocity,1.0,0.3,3,0.12236215370906406,0.9496344976077826,0.8272723438987186,0.02827929964944342,1,1
indirect_reciprocity,1.0,0.3,4,0.12040570537335116,0.9788462588371277,0.8584405534637766,0.020849455231686475,1,1
indirect_reciprocity,1.0,0.3,5,0.11899369572264468,0.9742174759559165,0.8552237802332718,0.028957085692870952,1,1
indirect_reciprocity,1.0,0.3,6,0.11990100497716376,0.9960979863183191,0.8761969813411554,0.008286639030520536,1,1
indirect_reciprocity,1.0,0.3,7,0.1142221685091476,0.9919391496935188,0.8777169811843712,0.013337026398710008,1,1
indirect_reciprocity,1.2,0.1,0,0.11982660185613107,0.9967322299333262,0.8769056280771952,0.011853030244534562,1,1
indirect_reciprocity,1.2,0.1,1,0.11914007165541113,0.9981877266323234,0.8790476549769122,0.006961728978829029,1,1
indirect_reciprocity,1.2,0.1,2,0.11797424272741182,0.9975628186414353,0.8795885759140234,0.008530267977710476,1,1
indirect_reciprocity,1.2,0.1,3,0.12236215370906406,0.9991563199903444,0.8767941662812804,0.004847320853889144,1,1
indirect_reciprocity,1.2,0.1,4,0.12040570537335116,0.9979949535720962,0.8775892481987451,0.008409181222156618,1,1
indirect_reciprocity,1.2,0.1,5,0.11899369572264468,0.9979664431904952,0.8789727474678506,0.007805862149744077,1,1
indirect_reciprocity,1.2,0.1,6,0.11990100497716376,0.9987001713739675,0.8787991663968038,0.00546162837632183,1,1
indirect_reciprocity,1.2,0.1,7,0.1142221685091476,0.9980683230178156,0.883846154508668,0.007418187801316024,1,1
indirect_reciprocity,1.2,0.2,0,0.11982660185613107,0.9963873455501369,0.8765607436940058,0.013352475385199574,1,1
indirect_reciprocity,1.2,0.2,1,0.11914007165541113,0.9976711429002335,0.8785310712448224,0.007992438274965766,1,1
indirect_reciprocity,1.2,0.2,2,0.11797424272741182,0.9962685318034958,0.878294289076084,0.010483920525315472,2,1
indirect_reciprocity,1.2,0.2,3,0.12236215370906406,0.9938681147950904,0.8715059610860263,0.010710952350234887,1,1
indirect_reciprocity,1.2,0.2,4,0.12040570537335116,0.9971266409090368,0.8767209355356856,0.009410313407947114,1,1
indirect_reciprocity,1.2,0.2,5,0.11899369572264468,0.995902282620507,0.8769085868978623,0.007501060714366962,1,1
