kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.3,1.6666666666666667,0.8,0.3,0.01,0,0.10156842501007407,0.056530078474344846,0.09394958849461367,0.11987586841713165
0.5,0.3,1.6666666666666667,0.8,0.3,0.01,1,0.08799842228930649,0.043328018329958105,0.08732310875269654,0.12849347852461004
0.5,0.3,1.6666666666666667,0.8,0.3,0.01,2,0.07386397525433375,0.051675622804606296,0.0761971724628211,0.12270509510301945
0.5,0.3,1.6666666666666667,0.8,0.3,0.01,3,0.09494909373481895,0.04491164672633371,0.09289047188149371,0.11753118812823783
0.5,0.3,1.6666666666666667,0.8,0.3,0.01,4,0.10094937415254063,0.056889041742456924,0.09035927462421525,0.12510751734130596
0.5,0.3,1.6666666666666667,0.8,0.3,0.01,5,0.055281612547154815,0.03869108567329853,0.056858677379014795,0.1201308359283212
0.5,0.3,1.6666666666666667,1.0,0.1,0.01,0,0.28932401734439306,0.03159474905915733,0.11827163638879212,0.28901546692664565
0.5,0.3,1.6666666666666667,1.0,0.1,0.01,1,0.2954237578629515,0.03704627770801417,0.11862336521493885,0.29669761213412027
0.5,0.3,1.6666666666666667,1.0,0.1,0.01,2,0.2831196970524802,0.04048861328880426,0.11757638181640452,0.28211615618700236
0.5,0.3,1.6666666666666667,1.0,0.1,0.01,3,0.2421659595081369,0.038994047604469284,0.11753118812823783,0.24062819388373835
0.5,0.3,1.6666666666666667,1.0,0.1,0.01,4,0.38379863885948207,0.04423163481008567,0.12114467164362658,0.38297876686590504
0.5,0.3,1.6666666666666667,1.0,0.1,0.01,5,0.29968829186439105,0.040138694373081464,0.11926604755157912,0.29922498905843387
0.5,0.3,1.6666666666666667,1.0,0.2,0.01,0,0.22092299454916214,0.04190815099934493,0.11739207273764792,0.22222222560659016
0.5,0.3,1.6666666666666667,1.0,0.2,0.01,1,0.2529916810030963,0.05316376209525183,0.11862336521493885,0.2524800990777861
0.5,0.3,1.6666666666666667,1.0,0.2,0.01,2,0.20195082758072946,0.03453219085512835,0.11757638181640452,0.2014502455355879
