kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.2,2.5,0.8,0.3,0.01,2,0.1372809407889208,0.04517609209522767,0.11601236605996866,0.15110318308932413
0.5,0.2,2.5,0.8,0.3,0.01,3,0.14681997499707256,0.048163791726625306,0.11390467844204519,0.15263038206924728
0.5,0.2,2.5,0.8,0.3,0.01,4,0.056422105073550353,0.05591007053744609,0.05848929130187688,0.23110075356555035
0.5,0.2,2.5,0.8,0.3,0.01,5,0.1676833726300996,0.056584706848798155,0.11444470795298854,0.16897267407352792
0.5,0.2,2.5,1.0,0.1,0.01,0,0.33164500277950565,0.057305242649101924,0.11978607561528583,0.33182759111584775
0.5,0.2,2.5,1.0,0.1,0.01,1,0.35775907759971826,0.046966462175104175,0.11862336521493885,0.3547106898445199
0.5,0.2,2.5,1.0,0.1,0.01,2,0.2967547021818799,0.04510925690123048,0.11757638181640452,0.2955179555402331
0.5,0.2,2.5,1.0,0.1,0.01,3,0.3409211512269169,0.07456732775265217,0.11753118812823783,0.34058767902128956
0.5,0.2,2.5,1.0,0.1,0.01,4,0.3776110854164769,0.04497893440942153,0.12114467164362658,0.37812384582991476
0.5,0.2,2.5,1.0,0.1,0.01,5,0.316503559398187,0.04764628273336267,0.11926604755157912,0.31703437687075653
0.5,0.2,2.5,1.0,0.2,0.01,0,0.3547647204519979,0.06475646293752374,0.11829475471955855,0.3508495370550656
0.5,0.2,2.5,1.0,0.2,0.01,1,0.31445127850339133,0.04644782036997981,0.11862336521493885,0.3148218698748748
0.5,0.2,2.5,1.0,0.2,0.01,2,0.2603614560995558,0.05306016604404807,0.11757638181640452,0.25725236685011416
0.5,0.2,2.5,1.0,0.2,0.01,3,0.2063596545400576,0.037441024707816795,0.11753118812823783,0.2067830940085163
0.5,0.2,2.5,1.0,0.2,0.01,4,0.3612067386833181,0.039097109219689986,0.12114467164362658,0.36121549667881936
0.5,0.2,2.5,1.0,0.2,0.01,5,0.2593325227440117,0.04048449518743222,0.11926604755157912,0.25773336357713145
0.5,0.2,2.5,1.0,0.3,0.01,0,0.15760309037084452,0.06651444424444908,0.11741897426269111,0.17124471823708748
0.5,0.2,2.5,1.0,0.3,0.01,1,0.2471742459000118,0.03238885822379285,0.11862336521493885,0.2513649091664942
0.5,0.2,2.5,1.0,0.3,0.01,2,0.17003754541019392,0.04101764313013794,0.11757638181640452,0.18626222486195682
0.5,0.2,2.5,1.0,0.3,0.01,3,0.18885528403723717,0.05057606710164815,0.11677339526407852,0.20545931727121694
0.5,0.2,2.5,1.0,0.3,0.01,4,0.3340242084313394,0.0319866512106577,0.12114467164362658,0.35577024787734324
0.5,0.2,2.5,1.0,0.3,0.01,5,0.1830398438163398,0.04141454111851402,0.11700624568210216,0.19456741665201532
0.5,0.2,2.5,1.2,0.1,0.01,0,0.29381318667263145,0.026738101099181087,0.11987586841713165,0.29306889294629596
0.5,0.2,2.5,1.2,0.1,0.01,1,0.37003533668681016,0.04243744817768713,0.11862336521493885,0.36764672777806506
0.5,0.2,2.5,1.2,0.1,0.01,2,0.35993716508778945,0.06720135739419197,0.11757638181640452,0.3561619703025032
0.5,0.2,2.5,1.2,0.1,0.01,3,0.38356011970330683,0.06374711813735336,0.11753118812823783,0.3809281094480827
0.5,0.2,2.5,1.2,0.1,0.01,4,0.4439444181543067,0.044993566240393024,0.12114467164362658,0.44191130464978273
0.5,0.2,2.5,1.2,0.1,0.01,5,0.33045896743703473,0.03512741189463138,0.11926604755157912,0.3336811876165265
0.5,0.2,2.5,1.2,0.2,0.01,0,0.3525633633406597,0.03216348053585737,0.11903100467727848,0.3525652828548554
0.5,0.2,2.5,1.2,0.2,0.01,1,0.33066690301280716,0.02567882729801267,0.11862336521493885,0.3308414307348126
0.5,0.2,2.5,1.2,0.2,0.01,2,0.24449690163701435,0.03753881342954889,0.11757638181640452,0.24302655652678842
0.5,0.2,2.5,1.2,0.2,0.01,3,0.25872509937125937,0.04734094112087238,0.11753118812823783,0.256978477731753
0.5,0.2,2.5,1.2,0.2,0.01,4,0.37387168306711277,0.051462822619948806,0.12114467164362658,0.37811737155472813
0.5,0.2,2.5,1.2,0.2,0.01,5,0.3079918778918024,0.03920923429635035,0.11926604755157912,0.3079122631182891
