model_variant,benefit_from_altruism,cost_of_altruism,harshness,disturbance_interval,disturbance_fraction,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg,occupied_avg
uniform_culling,0.6,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.6,0.1,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.6,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.65,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.65,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.65,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.65,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.6,0.15,0.96,50,0.25,0.39,0.39,0.2,1.8,1680.8,918.4,0.646905
uniform_culling,0.6,0.2,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.65,0.1,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.6,0.25,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.6,0.3,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.6,0.2,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.65,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.6,0.15,0.96,50,0.5,0.39,0.39,0.8,198,842,1561,0.399846
uniform_culling,0.6,0.25,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.6,0.3,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.6,0.35,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.6,0.35,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.7,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.7,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.7,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.7,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.65,0.2,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.65,0.3,0.96,50,0.25,0.39,0.39,0,0,1696,905,0.652057
uniform_culling,0.65,0.25,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.65,0.15,0.96,50,0.25,0.39,0.39,0.8,38.2,1664.8,898,0.654748
uniform_culling,0.65,0.15,0.96,50,0.5,0.39,0.39,1,640.6,625.4,1335,0.486736
uniform_culling,0.65,0.25,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.65,0.2,0.96,50,0.5,0.39,0.39,0,0,611.6,1989.4,0.23514
uniform_culling,0.65,0.35,0.96,50,0.25,0.39,0.39,0,0,1670.6,930.4,0.642291
uniform_culling,0.65,0.3,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.65,0.35,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.7,0.1,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
