mechanism,benefit_scale,cost_scale,seed,final_mean_trait,final_std_trait
direct_reciprocity,1.2,0.2,3,0.015705574980318198,0.028165097523074546
direct_reciprocity,1.2,0.2,4,0.013798502960189364,0.020024977401694254
direct_reciprocity,1.2,0.2,5,0.007287497472013303,0.012787339879463833
direct_reciprocity,1.2,0.2,6,0.01019106907257025,0.020118430767146728
direct_reciprocity,1.2,0.2,7,0.007817142126105299,0.01941669265896207
direct_reciprocity,1.2,0.3,0,0.00788815989514302,0.017810871515751777
direct_reciprocity,1.2,0.3,1,0.010614850860953838,0.018786995238644258
direct_reciprocity,1.2,0.3,2,0.008177169817030634,0.01685625076643122
direct_reciprocity,1.2,0.3,3,0.008219558869305412,0.018836073002293664
direct_reciprocity,1.2,0.3,4,0.008697179121092614,0.0163640371503751
direct_reciprocity,1.2,0.3,5,0.005943412530122196,0.01256013767217493
direct_reciprocity,1.2,0.3,6,0.004859330379554614,0.013579113086038307
direct_reciprocity,1.2,0.3,7,0.004545085703170187,0.012963533497348748
indirect_reciprocity,0.8,0.1,0,0.996210309129067,0.01343199999125378
indirect_reciprocity,0.8,0.1,1,0.9970105304177524,0.008501719828923436
indirect_reciprocity,0.8,0.1,2,0.9945934665345256,0.012460077963232867
indirect_reciprocity,0.8,0.1,3,0.9965145910012012,0.009631013653694653
indirect_reciprocity,0.8,0.1,4,0.9948088400897692,0.012466192894630024
indirect_reciprocity,0.8,0.1,5,0.9938360746910284,0.012030034961226791
indirect_reciprocity,0.8,0.1,6,0.9977752319290758,0.006440865394830967
indirect_reciprocity,0.8,0.1,7,0.9964613889797967,0.00914532098714778
indirect_reciprocity,0.8,0.2,0,0.858706601570556,0.03645939530687295
indirect_reciprocity,0.8,0.2,1,0.9960376496932588,0.008946822604246863
indirect_reciprocity,0.8,0.2,2,0.9904257990797368,0.01926266921526016
indirect_reciprocity,0.8,0.2,3,0.9888884721329061,0.020113001953325268
indirect_reciprocity,0.8,0.2,4,0.9167205021550878,0.029701273214347988
indirect_reciprocity,0.8,0.2,5,0.8964570670909846,0.046247314748853796
indirect_reciprocity,0.8,0.2,6,0.9962328495467013,0.009420023033792607
indirect_reciprocity,0.8,0.2,7,0.9794297630191414,0.024632646577440086
indirect_reciprocity,0.8,0.3,0,0.6861113706782935,0.03669247682188328
indirect_reciprocity,0.8,0.3,1,0.9944954583214197,0.010448744574226223
indirect_reciprocity,0.8,0.3,2,0.9243168741220145,0.03752827061352498
indirect_reciprocity,0.8,0.3,3,0.8007150813550279,0.03920734800433335
indirect_reciprocity,0.8,0.3,4,0.8991113280594161,0.030711841139357068
indirect_reciprocity,0.8,0.3,5,0.840867327273989,0.032180026308820504
indirect_reciprocity,0.8,0.3,6,0.725912421790826,0.04597983939132292
indirect_reciprocity,0.8,0.3,7,0.8334812976068046,0.05603223443722913
indirect_reciprocity,1.0,0.1,0,0.996066004426932,0.012854146223900388
indirect_reciprocity,1.0,0.1,1,0.9975413979126309,0.008588349958578722
indirect_reciprocity,1.0,0.1,2,0.9976331487134765,0.008529677739804408
indirect_reciprocity,1.0,0.1,3,0.998264298490864,0.0071708469189550005
indirect_reciprocity,1.0,0.1,4,0.9973988467008302,0.009203841137978216
indirect_reciprocity,1.0,0.1,5,0.9977518013645965,0.009212782720583249
indirect_reciprocity,1.0,0.1,6,0.9989425988852132,0.004757950220332979
indirect_reciprocity,1.0,0.1,7,0.9971876115859302,0.007985324421588285
indirect_reciprocity,1.0,0.2,0,0.9395474539750032,0.04728564778553843
indirect_reciprocity,1.0,0.2,1,0.9965681136985237,0.008798251022394961
indirect_reciprocity,1.0,0.2,2,0.9954381348389428,0.012210013174904074
indirect_reciprocity,1.0,0.2,3,0.99714909392819,0.008790205392921272
